fname                                                        ,attribute      ,area     ,direction ,floor_height ,i_don_t_know_what_it_is ,construction_time ,community                    ,wherehome                                                                                ,is_it_close_to_the_subway ,homo   ,intermediary ,price  ,unitprice
南北通中间花园位置，前后无遮挡，得天独厚，固定车位，看房有钥 ,2 室 2 厅 1 卫 ,73.69㎡  ,南北      ,中层(共11层) ,                        ,2006年建造        ,永泰花苑                     ,浦东三林永泰路630弄                                                                      ,繁华地段交通便利配套成熟  ,潘永建 ,太平洋房屋   , 495   ,67174元/㎡
聚焦！！！金色杉林 电梯高区商品两房 中心位置 看房随时        ,2 室 2 厅 1 卫 ,84.83㎡  ,南北      ,中层(共18层) ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区素质住户环境优美  ,陆宇辉 ,太平洋房屋   , 568   ,66958元/㎡
南北通透 装修好 满五   中间楼层采光好 电梯房 刚需两居        ,2 室 2 厅 1 卫 ,83.48㎡  ,南北      ,中层(共18层) ,                        ,2008年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,近地铁配套成熟品质小区    ,陈晨   ,太平洋房屋   , 599   ,71754元/㎡
精装修，送家电家具，着急置换，近地铁口，满五  ，带车位       ,2 室 2 厅 1 卫 ,71.18㎡  ,南北      ,高层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区环境优美配套成熟  ,于鹏程 ,太平洋房屋   , 465   ,65328元/㎡
近地铁 精美复式 老房东挂牌 拎包入住 订金交房 价格美丽        ,2 室 3 厅 2 卫 ,73.39㎡  ,南北      ,高层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,繁华地段环境优美近地铁    ,孙卫东 ,太平洋房屋   , 485   ,66086元/㎡
三林 近地铁 带电梯 精装好房 正规商品房 满五   板楼           ,2 室 1 厅 1 卫 ,62.13㎡  ,南        ,低层(共18层) ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,环境优美繁华地段交通便利  ,黄健   ,太平洋房屋   , 390   ,62772元/㎡
业主付税，双地铁，只求一卖，空间巨大，看中可谈，结果超乎想象 ,2 室 1 厅 1 卫 ,69.84㎡  ,南北      ,低层(共6层)  ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区配套成熟环境优美  ,张林涛 ,太平洋房屋   , 420   ,60138元/㎡
电梯（观景房）！！(豪装送了)(税费包了)！！小区中心，速抢     ,2 室 2 厅 1 卫 ,83.39㎡  ,南北      ,高层(共17层) ,                        ,2008年建造        ,永泰花苑                     ,浦东三林永泰路630弄                                                                      ,品质小区繁华地段环境优美  ,张振豪 ,太平洋房屋   , 450   ,53964元/㎡
南北通透 97平 满五  住房 采光好 周边商圈成                   ,3 室 1 厅 1 卫 ,97㎡     ,南北      ,高层(共14层) ,                        ,2013年建造        ,三林新村(永泰路133弄)        ,浦东三林永泰路133弄                                                                      ,                          ,王焕然 ,辰驿地产     , 595   ,61341元/㎡
金桂苑 南北通透 满五  住房 3室2厅 房东急置换                 ,3 室 2 厅 1 卫 ,77.05㎡  ,南北      ,低层(共6层)  ,                        ,2000年建造        ,金桂苑(浦东)                 ,浦东三林环林西路618弄                                                                    ,品质小区配套成熟环境优美  ,余志恒 ,中呈地产     , 465   ,60351元/㎡
近地铁 满五   精装修 朝南 交通便捷 有电梯 诚心出售           ,2 室 2 厅 1 卫 ,84.14㎡  ,南        ,低层(共18层) ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区近地铁素质住户    ,黄健   ,太平洋房屋   , 488   ,57999元/㎡
业主付税，双地铁，只求一卖，空间巨大，看中可谈，结果超乎想象 ,1 室 1 厅 1 卫 ,53.95㎡  ,南北      ,中层(共6层)  ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区配套成熟          ,张林涛 ,太平洋房屋   , 355   ,65802元/㎡
抄底之捡大漏系列（带车位送花园）房东包税，300米有大商超      ,2 室 1 厅 1 卫 ,72.86㎡  ,南北      ,低层(共11层) ,                        ,2008年建造        ,永泰花苑                     ,浦东三林永泰路630弄                                                                      ,繁华地段景观房送车位      ,邓力源 ,太平洋房屋   , 437   ,59979元/㎡
主营商圈 本人实勘 拒绝虚假 房东是我老客户 价格我能  惠       ,3 室 2 厅 1 卫 ,89.79㎡  ,南        ,中层(共18层) ,                        ,2011年建造        ,保利林语溪(公寓住宅)         ,浦东三林秀沿西路68弄                                                                     ,次新小区品质小区环境优美  ,陈小艳 ,德到地产     , 550   ,61255元/㎡
田林十村 南北通透 临地铁 板楼 医疗配套成熟 有电梯钥匙房      ,3 室 1 厅 1 卫 ,87.01㎡  ,南北      ,高层(共6层)  ,                        ,1993年建造        ,田林十村                     ,徐汇田林宜山路691弄                                                                      ,繁华地段配套成熟近地铁    ,林家鑫 ,太平洋房屋   , 535   ,61488元/㎡
笋盘 电梯协议已签 急售 价格可谈 满五税少 看房随时            ,2 室 2 厅 1 卫 ,70.02㎡  ,南北      ,中层(共6层)  ,                        ,2012年建造        ,三林苑                       ,"浦东三林三林路1466弄1-106号,永泰路1129弄1-95号"                                         ,品质小区环境优美近地铁    ,尹旭东 ,柚邻地产     , 425   ,60697元/㎡
